date,modal_price,arrivals_mt,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_lag_60,rolling_mean_7,rolling_mean_14,rolling_std_7,weekly_arrival_change,day_of_week,month,quarter
2019-03-02,2128.4588225060243,260.82783422872063,2121.4744199139145,2105.39090180947,2132.166256803904,2131.733149412113,2110.5844558381427,2120.4976551083605,2120.5824100333293,2132.308798277891,9.792659698327197,-0.6372769071285052,5,3,1
2019-03-03,2130.194843142672,373.3105528476149,2128.4588225060243,2114.696745817181,2131.7308887791696,2148.150860572254,2098.996753418892,2125.6519858328647,2120.362974942401,2131.0262256043497,9.514465595648513,0.030825841021445033,6,3,1
2019-03-04,2136.817688278863,504.4259386070329,2130.194843142672,2121.4744199139145,2128.977879676705,2152.7590235737403,2104.6578816867022,2130.390594170313,2121.482947599852,2129.887558797573,11.037141610297706,0.08689590834580008,0,3,1
2019-03-05,2139.2289099047343,459.578298802639,2136.817688278863,2128.4588225060243,2113.34721173084,2153.6182582900483,2097.6133471829366,2144.0750954029704,2125.1803330532657,2128.859748198622,12.137719000514439,-0.12162268613815519,1,3,1
2019-03-06,2137.5468590237438,512.9411258275597,2139.2289099047343,2130.194843142672,2105.39090180947,2138.5186854678823,2083.833954144712,2134.9068269647864,2129.7740412267335,2128.7903320240407,9.10622156694095,0.08499900882016176,2,3,1
2019-03-07,2149.1945454787888,522.7653282631304,2137.5468590237438,2136.817688278863,2114.696745817181,2145.7337100914688,2080.302787624641,2133.665355162059,2134.7022983212487,2129.0375345517064,8.919610884328138,0.061433228464090606,3,3,1
2019-03-08,2146.7370686045183,288.40800045290075,2149.1945454787888,2139.2289099047343,2121.4744199139145,2137.299510857876,2075.688130442899,2113.5557262646125,2138.311248134192,2129.7116458193236,7.703289852527473,-0.48284674618267287,4,3,1
2019-03-09,2139.040390867857,627.3640332151647,2146.7370686045183,2137.5468590237438,2128.4588225060243,2132.166256803904,2076.3547032279853,2108.6276920149785,2139.822900757311,2130.20265539532,6.370632492263303,1.4052802304259733,5,3,1
2019-03-10,2151.1621142891886,450.173211689965,2139.040390867857,2149.1945454787888,2130.194843142672,2131.7308887791696,2074.591846608728,2112.553489519003,2142.8182252068136,2131.590600074607,6.0081089689272185,0.20589468541952893,6,3,1
2019-03-11,2163.497082334619,413.44868152239934,2151.1621142891886,2146.7370686045183,2136.817688278863,2128.977879676705,2086.600774328223,2103.261642849697,2146.6295672147785,2134.056257407315,9.187932608152256,-0.18035800723465234,0,3,1
2019-03-12,2147.7555294651784,520.8355295959279,2163.497082334619,2139.040390867857,2139.2289099047343,2113.34721173084,2093.5847637415404,2104.0599609718543,2147.847655723413,2136.5139943883396,8.588951417724585,0.13329008561301814,1,3,1
2019-03-13,2154.135058897428,510.7160227782243,2147.7555294651784,2151.1621142891886,2137.5468590237438,2105.39090180947,2091.868475389276,2102.4647959552835,2150.2173985625113,2139.995719894622,7.49150381984654,-0.004337930685018754,2,3,1
2019-03-14,2133.690828679228,619.6690817654638,2154.135058897428,2163.497082334619,2149.1945454787888,2114.696745817181,2082.7966095878023,2102.6870142214034,2148.0025818768595,2141.352440099054,9.785015499183453,0.18536759854425067,3,3,1
2019-03-15,2144.3856375411974,527.1873162770017,2133.690828679228,2147.7555294651784,2146.7370686045183,2121.4744199139145,2094.6828668521084,2098.40908508537,2147.6666631535277,2142.98895564386,9.875643799094657,0.8279219558720095,4,3,1
2019-03-16,2135.048009132077,615.8110848024301,2144.3856375411974,2154.135058897428,2139.040390867857,2128.4588225060243,2102.538188097091,2093.090910983188,2147.0963229055596,2143.4596118314353,10.54917755449024,-0.018415063346120086,5,3,1
2019-03-17,2142.8900910086163,406.1822624572295,2135.048009132077,2133.690828679228,2151.1621142891886,2130.194843142672,2129.098289009811,2091.9161559654744,2145.914605294049,2144.366415250431,10.48091451209589,-0.09772005106121717,6,3,1
2019-03-18,2136.741333414443,514.18610552075,2142.8900910086163,2144.3856375411974,2163.497082334619,2136.817688278863,2131.733149412113,2094.136944981122,2142.0923554483097,2144.3609613315443,7.436796745143295,0.24365157878219756,0,3,1
2019-03-19,2140.0702578193327,388.5252292675111,2136.741333414443,2135.048009132077,2147.7555294651784,2139.2289099047343,2148.150860572254,2086.457179961691,2140.9944594989033,2144.421057611158,7.01682959316589,-0.2540347054108716,1,3,1
2019-03-20,2126.26308757661,509.767585556028,2140.0702578193327,2142.8900910086163,2154.135058897428,2137.5468590237438,2152.7590235737403,2087.881825985557,2137.012749310215,2143.615073936363,6.17488514347571,-0.0018570735592687848,2,3,1
2019-03-21,2123.4550246613426,488.5712044398114,2126.26308757661,2136.741333414443,2133.690828679228,2149.1945454787888,2153.6182582900483,2087.5353041432813,2135.550491593374,2141.7765367351167,8.026877732277104,-0.21156110766757785,3,3,1
2019-03-22,2122.856852024726,484.2702574799097,2123.4550246613426,2140.0702578193327,2144.3856375411974,2146.7370686045183,2138.5186854678823,2098.878696798307,2132.474950805307,2140.0708069794173,8.200006304667655,-0.08140760877968856,4,3,1
2019-03-23,2132.468589688909,485.1472447638368,2122.856852024726,2126.26308757661,2135.048009132077,2139.040390867857,2145.7337100914688,2097.8312413152626,2132.1064623134257,2139.6013926094924,8.122700139217228,-0.21218169543101684,5,3,1
2019-03-24,2150.4113981189957,573.6389470184597,2132.468589688909,2123.4550246613426,2142.8900910086163,2151.1621142891886,2137.299510857876,2092.5800128039627,2133.1809347577655,2139.5477700259075,10.054618632620326,0.41226981096660564,6,3,1
2019-03-25,2156.2182935362957,339.26403429974204,2150.4113981189957,2122.856852024726,2136.741333414443,2163.497082334619,2132.166256803904,2111.7077255175545,2135.9633576323163,2139.0278565403128,13.356786393759343,-0.34019213927193326,0,3,1
2019-03-26,2159.194798021379,410.02121372158274,2156.2182935362957,2132.468589688909,2140.0702578193327,2147.7555294651784,2131.7308887791696,2091.440529360253,2138.6954348040367,2139.84494715147,16.026051345178907,0.05532712636087522,1,3,1
